"Label";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes"
"idBank";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"23/10/2025 15:28";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"134.0";"A";"134.0";"A";"134.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"124.6";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A"
"2022";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A"
"2021";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"84.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"93.4";"A";"93.4";"A";"93.4";"A";"93.4";"A";"93.4";"A";"93.4";"A";"93.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"99.2";"A";"99.2";"A";"99.2";"A";"99.2";"A";"99.2";"A";"99.2";"A";"99.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"103.6";"A";"103.6";"A";"103.6";"A";"103.6";"A";"103.6";"A";"103.6";"A";"103.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"89.3";"A";"89.3";"A";"89.3";"A";"89.3";"A";"89.3";"A";"89.3";"A";"89.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"111.7";"A";"111.7";"A";"111.7";"A";"111.7";"A";"111.7";"A";"111.7";"A";"111.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"148.3";"A";"148.3";"A";"148.3";"A";"148.3";"A";"148.3";"A";"148.3";"A";"148.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"121.5";"A";"121.5";"A";"121.5";"A";"121.5";"A";"121.5";"A";"121.5";"A";"121.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"114.8";"A";"114.8";"A";"114.8";"A";"114.8";"A";"114.8";"A";"114.8";"A";"114.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"74.7";"A";"74.7";"A";"74.7";"A";"74.7";"A";"74.7";"A";"74.7";"A";"74.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"112.6";"A";"112.6";"A";"112.6";"A";"112.6";"A";"112.6";"A";"112.6";"A";"112.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"113.2";"A";"113.2";"A";"113.2";"A";"113.2";"A";"113.2";"A";"113.2";"A";"113.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"68.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"70.3";"A";"70.3";"A";"70.3";"A";"70.3";"A";"70.3";"A";"70.3";"A";"70.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"72.1";"A";"72.1";"A";"72.1";"A";"72.1";"A";"72.1";"A";"72.1";"A";"72.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"72.8";"A";"72.8";"A";"72.8";"A";"72.8";"A";"72.8";"A";"72.8";"A";"72.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"87.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"81.9";"A";"81.9";"A";"81.9";"A";"81.9";"A";"81.9";"A";"81.9";"A";"81.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"62.3";"A";"62.3";"A";"62.3";"A";"62.3";"A";"62.3";"A";"62.3";"A";"62.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"62.8";"A";"62.8";"A";"62.8";"A";"62.8";"A";"62.8";"A";"62.8";"A";"62.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"75.0";"A";"75.0";"A";"75.0";"A";"75.0";"A";"75.0";"A";"75.0";"A";"75.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"69.0";"A";"69.0";"A";"69.0";"A";"69.0";"A";"69.0";"A";"69.0";"A";"69.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"65.1";"A";"65.1";"A";"65.1";"A";"65.1";"A";"65.1";"A";"65.1";"A";"65.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"71.9";"A";"71.9";"A";"71.9";"A";"71.9";"A";"71.9";"A";"71.9";"A";"71.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1994";"72.7";"A";"72.7";"A";"72.7";"A";"72.7";"A";"72.7";"A";"72.7";"A";"72.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1993";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1992";"56.6";"A";"56.6";"A";"56.6";"A";"56.6";"A";"56.6";"A";"56.6";"A";"56.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1991";"114.2";"A";"114.2";"A";"114.2";"A";"114.2";"A";"114.2";"A";"114.2";"A";"114.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990";"142.4";"A";"142.4";"A";"142.4";"A";"142.4";"A";"142.4";"A";"142.4";"A";"142.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1989";"174.6";"A";"174.6";"A";"174.6";"A";"174.6";"A";"174.6";"A";"174.6";"A";"174.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1988";"130.7";"A";"130.7";"A";"130.7";"A";"130.7";"A";"130.7";"A";"130.7";"A";"130.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1987";"150.4";"A";"150.4";"A";"150.4";"A";"150.4";"A";"150.4";"A";"150.4";"A";"150.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1986";"165.5";"A";"165.5";"A";"165.5";"A";"165.5";"A";"165.5";"A";"165.5";"A";"165.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1985";"173.4";"A";"173.4";"A";"173.4";"A";"173.4";"A";"173.4";"A";"173.4";"A";"173.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1984";"176.9";"A";"176.9";"A";"176.9";"A";"176.9";"A";"176.9";"A";"176.9";"A";"176.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1983";"176.7";"A";"176.7";"A";"176.7";"A";"176.7";"A";"176.7";"A";"176.7";"A";"176.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"151.8";"A";"151.8";"A";"151.8";"A";"151.8";"A";"151.8";"A";"151.8";"A";"151.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1981";"128.5";"A";"128.5";"A";"128.5";"A";"128.5";"A";"128.5";"A";"128.5";"A";"128.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1980";"105.6";"A";"105.6";"A";"105.6";"A";"105.6";"A";"105.6";"A";"105.6";"A";"105.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
