"Label";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes"
"idBank";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"23/10/2025 15:28";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"115.2";"A";"115.2";"A";"115.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"115.4";"A"
"2022";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.9";"A"
"2021";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"105.5";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2013";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2012";"97.1";"A";"97.1";"A";"97.1";"A";"97.1";"A";"97.1";"A";"97.1";"A";"97.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2011";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"77.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2010";"107.0";"A";"107.0";"A";"107.0";"A";"107.0";"A";"107.0";"A";"107.0";"A";"107.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2009";"80.1";"A";"80.1";"A";"80.1";"A";"80.1";"A";"80.1";"A";"80.1";"A";"80.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2008";"85.3";"A";"85.3";"A";"85.3";"A";"85.3";"A";"85.3";"A";"85.3";"A";"85.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2007";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"90.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2006";"95.4";"A";"95.4";"A";"95.4";"A";"95.4";"A";"95.4";"A";"95.4";"A";"95.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2005";"91.2";"A";"91.2";"A";"91.2";"A";"91.2";"A";"91.2";"A";"91.2";"A";"91.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2004";"70.2";"A";"70.2";"A";"70.2";"A";"70.2";"A";"70.2";"A";"70.2";"A";"70.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2003";"98.4";"A";"98.4";"A";"98.4";"A";"98.4";"A";"98.4";"A";"98.4";"A";"98.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2002";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"98.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2001";"79.4";"A";"79.4";"A";"79.4";"A";"79.4";"A";"79.4";"A";"79.4";"A";"79.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2000";"97.9";"A";"97.9";"A";"97.9";"A";"97.9";"A";"97.9";"A";"97.9";"A";"97.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1999";"75.9";"A";"75.9";"A";"75.9";"A";"75.9";"A";"75.9";"A";"75.9";"A";"75.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1998";"77.0";"A";"77.0";"A";"77.0";"A";"77.0";"A";"77.0";"A";"77.0";"A";"77.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1997";"77.6";"A";"77.6";"A";"77.6";"A";"77.6";"A";"77.6";"A";"77.6";"A";"77.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1996";"87.8";"A";"87.8";"A";"87.8";"A";"87.8";"A";"87.8";"A";"87.8";"A";"87.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1995";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"71.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1994";"84.1";"A";"84.1";"A";"84.1";"A";"84.1";"A";"84.1";"A";"84.1";"A";"84.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1993";"71.7";"A";"71.7";"A";"71.7";"A";"71.7";"A";"71.7";"A";"71.7";"A";"71.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1992";"75.3";"A";"75.3";"A";"75.3";"A";"75.3";"A";"75.3";"A";"75.3";"A";"75.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1991";"93.0";"A";"93.0";"A";"93.0";"A";"93.0";"A";"93.0";"A";"93.0";"A";"93.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1990";"81.1";"A";"81.1";"A";"81.1";"A";"81.1";"A";"81.1";"A";"81.1";"A";"81.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1989";"85.4";"A";"85.4";"A";"85.4";"A";"85.4";"A";"85.4";"A";"85.4";"A";"85.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1988";"83.4";"A";"83.4";"A";"83.4";"A";"83.4";"A";"83.4";"A";"83.4";"A";"83.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1987";"88.5";"A";"88.5";"A";"88.5";"A";"88.5";"A";"88.5";"A";"88.5";"A";"88.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1986";"88.8";"A";"88.8";"A";"88.8";"A";"88.8";"A";"88.8";"A";"88.8";"A";"88.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1985";"75.5";"A";"75.5";"A";"75.5";"A";"75.5";"A";"75.5";"A";"75.5";"A";"75.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1984";"85.7";"A";"85.7";"A";"85.7";"A";"85.7";"A";"85.7";"A";"85.7";"A";"85.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1983";"80.4";"A";"80.4";"A";"80.4";"A";"80.4";"A";"80.4";"A";"80.4";"A";"80.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1982";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"56.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1981";"61.9";"A";"61.9";"A";"61.9";"A";"61.9";"A";"61.9";"A";"61.9";"A";"61.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1980";"58.9";"A";"58.9";"A";"58.9";"A";"58.9";"A";"58.9";"A";"58.9";"A";"58.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
